Metric,Value
Total_Months,26.0
Avg_Stocks_Per_Month,67.73076923076923
Min_Stocks_Per_Month,67.0
Max_Stocks_Per_Month,72.0
Most_Common_Stock_Count,67.0
Aggressive_Strategy_Months,19.0
Balanced_Strategy_Months,7.0
Conservative_Strategy_Months,0.0
High_Stability_Months,24.0
Medium_Stability_Months,2.0
Low_Stability_Months,0.0
High_Alpha_Months,7.0
Low_Volatility_Months,7.0
Positive_Trend_Months,10.0
Extreme_Z_Score_Months,0.0
Avg_Alpha,0.010745247702917767
Avg_Alpha_Volatility,0.0037638602905625193
Avg_Alpha_Trend,-0.0001616051328049207
Avg_Volatility_Rank,0.46183096193296963
Avg_Alpha_Z_Score,0.15347735055945277
