Dynamic_Portfolio,Original_Portfolio
1.0,1.0
1.0191355609730148,1.0290790729651944
1.0120712065348982,1.016379568196896
1.0397215728236835,1.0813545069759989
1.0593541726176279,1.0865546268233623
1.0650474905025489,1.0745797307681244
1.0692422691635997,1.096596693629273
1.0620037671784015,1.0682290570825455
1.0800024762262712,1.0890924875519157
1.1357094861975754,1.1354097623371602
1.1273224255330143,1.122863107505804
1.186544079005226,1.1906103899272924
1.2178688936921236,1.212206630619612
1.2391886012409365,1.2280275501152031
1.2211625283026948,1.2325703599337925
1.199671118326516,1.2091457201159195
1.2313475106628422,1.246460263043239
1.2525947508697957,1.269230840033759
1.299117868437329,1.3157660040773718
1.3058803282203117,1.3689700142215018
1.356772168333661,1.4065241410377947
1.3265751048185797,1.3434291584619544
1.3440973157492362,1.3712754745705693
1.3545159819833357,1.372720515098865
1.3786992103238387,1.4050138885784773
1.3769804062499245,1.4335800522906612
