Date,Alpha_25p,Alpha_100p,Active_Return_25p,Active_Return_100p
2022-12-01,0.004585220297719815,-0.0017482229837973116,-0.008971158739947398,0.003959350953977002
2023-01-01,0.028692453651682433,0.016372080957641304,0.050911233603093,0.032662489768022995
2023-02-01,0.016787377194086225,0.00986552550613862,-0.04259881106177647,-0.03345837723920387
2023-03-01,0.017414389664000496,0.01034570624672556,-0.030773398113761563,-0.03664329708642456
2023-04-01,0.021732254139217002,0.015631208907964877,-0.016335139328331798,-0.0170592095393863
2023-05-01,0.02045042388663252,0.01404767924233578,-0.12629817052219147,-0.13645981233326948
2023-06-01,0.02268582236703469,0.014768907772534444,-0.1410524856314163,-0.14487934797482402
2023-07-01,0.021503257479774777,0.012083041348893856,-0.18088168791203194,-0.17821687897877414
2023-08-01,0.018358321780618192,0.011488448006720546,-0.1404264366710572,-0.147701312153954
2023-09-01,0.021817174195410193,0.0163075011828311,-0.2660773187623726,-0.2603380226330088
2023-10-01,0.01918718851325603,0.014291403627478506,-0.2254701104569063,-0.2279095873951007
2023-11-01,0.013187251518985837,0.011415912617334559,-0.16592632056410633,-0.16805343018992802
2023-12-01,0.029129202707346848,0.02232409176305335,-0.19551902856784864,-0.20582514213136352
2024-01-01,0.018303988238103863,0.018121989267026538,-0.26137927207259126,-0.2657176585528376
2024-02-01,0.029914491914599453,0.025485750797608887,-0.2984294653213769,-0.30546798522195867
2024-03-01,0.013897517026060919,0.01660922878524502,-0.3215161682612446,-0.34227455091872205
2024-04-01,0.01301115557726754,0.008950410052386412,-0.3863984441338679,-0.37161725113409105
2024-05-01,0.01986750547798756,0.018636584821054635,-0.3006200067059805,-0.292242500969716
2024-06-01,0.011728481428486322,0.00779258219114124,-0.18366066523514935,-0.20029859039779366
2024-07-01,0.013201523589610686,0.006178295533146279,-0.22829576778420504,-0.23364447591344956
